state,x,y
Montgomery,139,-77
Juneau,-204,-170
Phoenix,-203,-40
Little Rock,57,-53
Sacramento,-297,13
Denver,-112,20
Hartford,297,96
Dover,275,42
Tallahassee,220,-145
Atlanta,182,-75
Honolulu,-317,-143
Boise,-216,122
Springfield,95,37
Indianapolis,133,39
Des Moines,38,65
Topeka,-17,5
Frankfort,149,1
Baton Rouge,59,-114
Augusta,319,164
Annapolis,288,27
Boston,312,112
Lansing,148,101
Saint Paul,23,135
Jackson,94,-78
Jefferson City,49,6
Helena,-141,150
Lincoln,-61,66
Carson City,-257,56
Concord,302,127
Trenton,282,65
Santa Fe,-128,-43
Albany,236,104
Raleigh,239,-22
Bismarck,-44,158
Columbus,176,52
Oklahoma City,-8,-41
Salem,-278,138
Harrisburg,238,72
Providence,318,94
Columbia,218,-51
Pierre,-44,109
Nashville,131,-34
Austin,-38,-106
Salt Lake City,-189,34
Montpelier,282,154
Richmond,234,12
Olympia,-257,193
Charleston,200,20
Madison,83,113
Cheyenne,-134,90
