,0
0,Montgomery
1,Juneau
2,Phoenix
3,Little Rock
4,Denver
5,Hartford
6,Atlanta
7,Honolulu
8,Boise
9,Springfield
10,Indianapolis
11,Des Moines
12,Topeka
13,Frankfort
14,Baton Rouge
15,Augusta
16,Annapolis
17,Boston
18,Lansing
19,Saint Paul
20,Jackson
21,Jefferson City
22,Helena
23,Lincoln
24,Concord
25,Trenton
26,Santa Fe
27,Albany
28,Raleigh
29,Bismarck
30,Columbus
31,Salem
32,Harrisburg
33,Providence
34,Columbia
35,Pierre
36,Salt Lake City
37,Montpelier
38,Richmond
39,Charleston
40,Madison
41,Cheyenne
